date, pm25, pm10
2019/12/14, 77, 35
2019/12/15, 87, 31
2019/12/16, 75, 43
2019/12/17, 105, 51
2019/12/18, 100, 
2019/12/20, 85, 57
2019/12/21, 138, 68
2019/12/22, 119, 23
2019/12/23, 59, 44
2019/12/24, 105, 43
2019/12/25, 92, 47
2019/12/26, 105, 42
2019/12/27, 117, 56
2019/12/28, 133, 58
2019/12/29, 137, 
2019/7/1, 72, 32
2019/7/2, 53, 
2019/7/5, 39, 15
2019/7/6, 30, 12
2019/7/7, 30, 14
2019/7/8, 36, 9
2019/7/9, 29, 9
2019/7/10, 31, 4
2019/7/11, 15, 5
2019/7/12, 19, 10
2019/7/13, 31, 19
2019/7/14, 52, 29
2019/7/15, 65, 
2019/4/1, 50, 
2019/4/2, 53, 
2019/4/3, 58, 
2019/4/4, 62, 
2019/4/7, 38, 
2019/4/8, 41, 
2019/4/9, 39, 
2019/4/10, 37, 
2019/4/11, 35, 
2019/4/12, 45, 
2019/4/13, 40, 
2019/4/14, 35, 
2019/4/15, 35, 
2019/4/16, 35, 
2019/4/17, 23, 
2019/4/18, 35, 
2019/4/19, 43, 
2019/4/20, 77, 
2019/4/21, 104, 
2019/4/22, 109, 
2019/4/23, 98, 
2019/4/24, 87, 
2019/4/25, 83, 
2019/4/26, 80, 
2019/4/27, 82, 
2019/4/28, 76, 
2019/4/29, 77, 
2019/4/30, 79, 
2019/5/1, 79, 
2019/5/2, 65, 
2019/5/3, 69, 
2019/5/4, 49, 
2019/5/5, 59, 
2019/5/6, 81, 
2019/5/7, 94, 
2019/5/8, 99, 
2019/5/9, 93, 
2019/5/10, 85, 
2019/5/11, 75, 
2019/5/12, 55, 
2019/6/8, 64, 51
2019/6/9, 72, 54
2019/6/10, 86, 52
2019/6/11, 79, 53
2019/6/12, 76, 53
2019/6/13, 77, 66
2019/6/14, 83, 59
2019/6/15, 82, 62
2019/6/16, 89, 56
2019/6/17, 88, 35
2019/6/18, 66, 45
2019/6/19, 78, 59
2019/6/20, 64, 34
2019/6/21, 58, 16
2019/6/22, 46, 21
2019/6/23, 50, 27
2019/6/24, 51, 23
2019/6/25, 52, 45
2019/6/26, 68, 26
2019/6/27, 53, 39
2019/6/28, 73, 37
2019/6/29, 70, 40
2019/6/30, 73, 42
2019/2/8, 67, 
2019/2/9, 56, 
2019/2/10, 104, 
2019/2/11, 105, 
2019/2/12, 120, 
2019/2/13, 113, 
2019/2/14, 142, 
2019/2/15, 122, 
2019/2/16, 76, 
2019/2/17, 69, 
2019/2/18, 81, 
2019/2/19, 84, 
2019/2/20, 93, 
2019/2/21, 100, 
2019/2/22, 109, 
2019/2/23, 94, 
2019/2/24, 102, 
2019/2/25, 74, 
2019/2/26, 75, 
2019/2/27, 64, 
2019/2/28, 47, 
2019/3/1, 77, 
2019/3/2, 92, 
2019/3/3, 97, 
2019/3/4, 92, 
2019/3/5, 76, 
2019/3/6, 72, 
2019/3/7, 72, 
2019/3/8, 91, 
2019/3/11, 75, 
2019/3/12, 88, 
2019/3/13, 94, 
2019/3/14, 88, 
2019/3/15, 74, 
2019/3/16, 74, 
2019/3/17, 87, 
2019/3/18, 83, 
2019/3/19, 90, 
2019/3/20, 77, 
2019/3/21, 68, 
2019/3/22, 76, 
2019/3/23, 98, 
2019/3/24, 133, 
2019/3/25, 131, 
2019/3/26, 52, 
2019/3/27, 47, 
2019/3/28, 62, 
2019/3/29, 78, 
2019/3/30, 78, 
2019/3/31, 57, 
2018/10/1, 83, 47
2018/10/2, 84, 46
2018/10/3, 83, 46
2018/10/4, 85, 48
2018/10/5, 88, 48
2018/10/6, 87, 49
2018/10/7, 83, 
2018/10/9, 91, 
2018/10/12, 68, 35
2018/10/13, 61, 39
2018/10/14, 69, 46
2018/10/15, 86, 46
2018/10/16, 94, 47
2018/10/17, 100, 
2018/10/23, 96, 
2018/10/30, 64, 
2018/11/10, 84, 
2018/11/12, 135, 
2018/11/18, 131, 62
2018/11/19, 146, 63
2018/11/20, 153, 60
2018/11/21, 153, 53
2018/11/22, 152, 
2018/8/20, 58, 24
2018/8/21, 44, 23
2018/8/22, 39, 15
2018/8/23, 34, 14
2018/8/24, 31, 12
2018/8/25, 35, 28
2018/8/26, 50, 15
2018/8/27, 32, 14
2018/8/28, 38, 20
2018/8/29, 44, 16
2018/8/30, 40, 16
2018/8/31, 38, 19
2018/9/1, 42, 13
2018/9/2, 32, 27
2018/9/3, 48, 28
2018/9/4, 50, 39
2018/9/5, 61, 26
2018/9/6, 54, 24
2018/9/7, 39, 23
2018/9/8, 43, 32
2018/9/9, 57, 22
2018/9/10, 47, 30
2018/9/11, 56, 27
2018/9/12, 55, 26
2018/9/13, 51, 35
2018/9/14, 67, 34
2018/9/15, 62, 32
2018/9/16, 64, 38
2018/9/17, 67, 35
2018/9/18, 62, 39
2018/9/19, 65, 39
2018/9/20, 67, 22
2018/9/21, 49, 20
2018/9/22, 45, 30
2018/9/23, 52, 37
2018/9/24, 64, 43
2018/9/25, 74, 36
2018/9/26, 69, 37
2018/9/27, 67, 42
2018/9/28, 72, 42
2018/9/29, 76, 45
2018/9/30, 79, 50
2017/4/8, 68, 47
2017/4/10, 137, 72
2017/4/11, 157, 83
2017/4/12, 168, 
2017/4/16, 107, 
2017/4/17, 100, 41
2017/4/18, 110, 47
2017/4/19, 123, 45
2017/4/20, 121, 34
2017/4/21, 95, 34
2017/4/22, 93, 28
2017/4/23, 73, 32
2017/4/24, 84, 45
2017/4/25, 105, 49
2017/4/26, 108, 54
2017/4/27, 117, 58
2017/4/28, 136, 47
2017/4/29, 155, 44
2017/5/9, 65, 35
2017/5/10, 86, 37
2017/5/11, 93, 36
2017/5/12, 94, 24
2017/5/13, 67, 23
2017/5/14, 70, 27
2017/5/15, 79, 33
2017/5/16, 89, 18
2017/5/17, 61, 
2017/5/18, 80, 
2017/5/19, 78, 52
2017/5/20, 97, 40
2017/5/21, 95, 30
2017/5/22, 78, 36
2017/5/23, 88, 36
2017/5/24, 86, 40
2017/5/25, 96, 48
2017/5/26, 111, 
2017/6/1, 62, 
2017/6/2, 81, 
2017/1/2, 134, 47
2017/1/3, 118, 66
2017/1/4, 149, 63
2017/1/5, 145, 53
2017/1/6, 129, 58
2017/1/7, 140, 61
2017/1/8, 144, 71
2017/1/9, 156, 65
2017/1/10, 149, 80
2017/1/11, 152, 
2017/1/13, 140, 66
2017/1/14, 155, 66
2017/1/15, 157, 71
2017/1/16, 156, 63
2017/1/17, 147, 71
2017/1/18, 157, 65
2017/1/19, 144, 71
2017/1/20, 151, 70
2017/1/21, 155, 68
2017/1/22, 156, 66
2017/1/23, 157, 68
2017/1/24, 157, 67
2017/1/25, 153, 67
2017/1/26, 149, 49
2017/1/27, 123, 34
2017/1/28, 93, 56
2017/1/29, 138, 55
2017/1/30, 152, 47
2017/1/31, 126, 49
2017/2/1, 125, 68
2017/2/2, 156, 62
2017/2/3, 150, 68
2017/2/4, 157, 
2017/2/7, 136, 63
2017/2/8, 148, 61
2017/2/9, 142, 46
2017/2/10, 115, 60
2017/2/11, 142, 61
2017/2/12, 143, 62
2017/2/13, 143, 61
2017/2/14, 144, 67
2017/2/15, 158, 67
2017/2/16, 157, 68
2017/2/17, 157, 64
2017/2/18, 153, 67
2017/2/19, 158, 69
2017/2/20, 158, 62
2017/2/21, 141, 70
2017/2/22, 150, 63
2017/2/23, 138, 61
2017/2/24, 138, 64
2017/2/25, 160, 
2016/12/3, 127, 59
2016/12/4, 134, 58
2016/12/5, 132, 61
2016/12/6, 141, 58
2016/12/7, 133, 45
2016/12/8, 116, 
2016/12/12, 107, 53
2016/12/13, 127, 54
2016/12/14, 130, 45
2016/12/15, 115, 57
2016/12/16, 136, 59
2016/12/17, 139, 59
2016/12/18, 139, 53
2016/12/19, 132, 57
2016/12/20, 139, 55
2016/12/21, 141, 52
2016/12/22, 128, 54
2016/12/23, 128, 50
2016/12/24, 122, 48
2016/12/25, 118, 58
2016/12/26, 141, 61
2016/12/27, 146, 64
2016/12/28, 150, 66
2016/12/29, 157, 72
2016/12/30, 164, 61
2016/12/31, 142, 72
2017/1/1, 165, 57
2024/7/17, , 1
2024/7/30, , 1
2024/8/14, , 2
2024/6/12, , 3
2024/6/16, , 1
2024/6/17, , 2
2024/3/9, , 48
2023/7/4, , 10
2023/9/21, , 12
2019/12/31, , 63
2020/1/12, , 51
2020/1/30, , 54
2020/2/7, , 61
2020/2/12, , 62
2019/10/2, , 32
2019/10/14, , 32
2019/10/30, , 36
2019/11/3, , 31
2019/11/30, , 49
2019/12/19, , 35
2019/7/4, , 19
2019/6/7, , 39
2018/10/8, , 39
2018/10/11, , 53
2018/10/22, , 48
2018/10/29, , 60
2018/11/9, , 43
2018/11/11, , 57
2018/11/17, , 58
2018/8/19, , 41
2017/4/7, , 31
2017/4/9, , 61
2017/4/13, , 69
2017/4/14, , 38
2017/4/30, , 39
2017/5/1, , 39
2017/5/2, , 44
2017/5/3, , 46
2017/5/4, , 28
2017/5/8, , 22
2017/1/12, , 57
2017/2/6, , 47
2016/12/2, , 53
2016/12/11, , 47
